Country,Horizon,Return,Asset Class
Grenada,YTD,7.944122759,Equity
Georgia,YTD,-7.013505346,Equity
French Guiana,YTD,26.49812985,Equity
Guernsey,YTD,1.60710723,Equity
Ghana,YTD,-14.64276873,Equity
Gibraltar,YTD,8.602336651,Equity
Greenland,YTD,-25.83181888,Equity
Gambia,YTD,13.14019304,Equity
Guinea,YTD,14.59320319,Equity
Guadeloupe,YTD,-8.374439198,Equity
Equatorial Guinea,YTD,-13.72999574,Equity
Greece,YTD,-7.758093819,Equity
South Georgia and the South Sandwich Islands,YTD,1.517118604,Equity
Guatemala,YTD,6.782789111,Equity
Guam,YTD,-5.233171027,Equity
Guinea-Bissau,YTD,18.92104773,Equity
Guyana,YTD,14.37521115,Equity
Hong Kong,YTD,15.90226517,Equity
Heard and McDonald Islands,YTD,13.69829054,Equity
Honduras,YTD,-1.626680075,Equity
Croatia,YTD,7.941667799,Equity
Haiti,YTD,12.48417777,Equity
Hungary,YTD,-8.08771409,Equity
Indonesia,YTD,9.874440947,Equity
Ireland,YTD,15.36249346,Equity
Israel,YTD,-11.11558757,Equity
Isle of Man,YTD,3.541469396,Equity
India,YTD,15.46361112,Equity
British Indian Ocean Territory,YTD,-2.002923931,Equity
Iraq,YTD,-1.744394751,Equity
Iran,YTD,6.03353631,Equity
Iceland,YTD,8.79196557,Equity
Italy,YTD,-10.5497232,Equity
Jersey,YTD,6.675253592,Equity
Jamaica,YTD,-12.34621185,Equity
Jordan,YTD,-23.14328066,Equity
Japan,YTD,2.801574872,Equity
Kenya,YTD,-7.943915159,Equity
Kyrgyzstan,YTD,-6.645983088,Equity
Cambodia,YTD,-5.759583058,Equity
Kiribati,YTD,-14.60763317,Equity
Comoros,YTD,-16.8343706,Equity
Saint Kitts and Nevis,YTD,-2.731777478,Equity
North Korea,YTD,-7.094780952,Equity
South Korea,YTD,3.243619343,Equity
Kuwait,YTD,-24.9050335,Equity
Cayman Islands,YTD,4.406249666,Equity
Kazakhstan,YTD,0.1525052929,Equity
Lao People's Democratic Republic,YTD,13.91906013,Equity
Lebanon,YTD,-18.3378873,Equity
Saint Lucia,YTD,-32.78553828,Equity
Liechtenstein,YTD,16.15703498,Equity
Sri Lanka,YTD,15.28994198,Equity
Liberia,YTD,2.118689338,Equity
Lesotho,YTD,-4.540692534,Equity
Lithuania,YTD,0.990837999,Equity
Luxembourg,YTD,11.86324251,Equity
Latvia,YTD,-12.24219762,Equity
Libya,YTD,-15.44389185,Equity
Morocco,YTD,-26.87775663,Equity
Monaco,YTD,-11.84825535,Equity
Moldova,YTD,-11.34518582,Equity
Montenegro,YTD,-7.660837902,Equity
Saint-Martin (France),YTD,-14.48468416,Equity
Madagascar,YTD,-37.87868016,Equity
Marshall Islands,YTD,31.56346853,Equity
Macedonia,YTD,-3.523775248,Equity
Mali,YTD,4.219022975,Equity
Myanmar,YTD,-2.895347472,Equity
Mongolia,YTD,-21.7973517,Equity
Macau,YTD,14.14643777,Equity
Northern Mariana Islands,YTD,-2.630320087,Equity
Martinique,YTD,-2.348390556,Equity
Mauritania,YTD,-18.76030145,Equity
Montserrat,YTD,-4.464518272,Equity
Malta,YTD,36.47921667,Equity
Mauritius,YTD,8.541469736,Equity
Maldives,YTD,42.41926775,Equity
Malawi,YTD,4.69314628,Equity
Mexico,YTD,8.040733175,Equity
Malaysia,YTD,-4.103100513,Equity
Mozambique,YTD,22.86190813,Equity
Namibia,YTD,1.08474499,Equity
New Caledonia,YTD,-3.252874735,Equity
Niger,YTD,0.7372679658,Equity
Norfolk Island,YTD,-27.72491989,Equity
Nigeria,YTD,7.068503384,Equity
Nicaragua,YTD,11.74212823,Equity
The Netherlands,YTD,-28.0521324,Equity
Norway,YTD,29.18381592,Equity
Nepal,YTD,13.93435238,Equity
Nauru,YTD,-9.15838548,Equity
Niue,YTD,-13.97052497,Equity
New Zealand,YTD,6.083539773,Equity
Oman,YTD,-6.659826796,Equity
Panama,YTD,5.806149112,Equity
Peru,YTD,5.419564726,Equity
French Polynesia,YTD,15.7022285,Equity
Papua New Guinea,YTD,-8.659473011,Equity
Philippines,YTD,-17.74511596,Equity
Pakistan,YTD,31.86623521,Equity
Poland,YTD,-1.523876735,Equity
St. Pierre and Miquelon,YTD,11.11041461,Equity
Pitcairn,YTD,-17.00644967,Equity
Puerto Rico,YTD,3.321919788,Equity
"Palestine, State of",YTD,12.64386692,Equity
Portugal,YTD,-0.2653967749,Equity
Palau,YTD,-22.27481142,Equity
Paraguay,YTD,-20.18109543,Equity
Qatar,YTD,7.454140313,Equity
Réunion,YTD,35.60383908,Equity
Romania,YTD,10.68950437,Equity
Serbia,YTD,-20.84451175,Equity
Russian Federation,YTD,10.15372704,Equity
Rwanda,YTD,5.699398643,Equity
Saudi Arabia,YTD,2.546898853,Equity
Solomon Islands,YTD,35.39455835,Equity
Seychelles,YTD,1.083293514,Equity
Sudan,YTD,-20.45471131,Equity
Sweden,YTD,1.958476089,Equity
Singapore,YTD,-14.31853862,Equity
Saint Helena,YTD,0.667507648,Equity
Slovenia,YTD,10.79951802,Equity
Svalbard and Jan Mayen Islands,YTD,12.33693821,Equity
Slovakia,YTD,6.408734166,Equity
Sierra Leone,YTD,-19.75180845,Equity
San Marino,YTD,-5.112142496,Equity
Senegal,YTD,-3.940912839,Equity
Somalia,YTD,2.747225387,Equity
Suriname,YTD,8.793287275,Equity
South Sudan,YTD,-23.12728097,Equity
Sao Tome and Principe,YTD,-13.9172042,Equity
El Salvador,YTD,3.893609398,Equity
Sint Maarten (Dutch part),YTD,0.455724369,Equity
Syria,YTD,13.18915161,Equity
Swaziland,YTD,-5.534882079,Equity
Turks and Caicos Islands,YTD,-8.355037546,Equity
Chad,YTD,-4.463529653,Equity
French Southern Territories,YTD,7.861601176,Equity
Togo,YTD,9.971269218,Equity
Thailand,YTD,-9.893045853,Equity
Tajikistan,YTD,3.29478007,Equity
Tokelau,YTD,7.826013239,Equity
Timor-Leste,YTD,-18.64725476,Equity
Turkmenistan,YTD,-20.21938461,Equity
Tunisia,YTD,-4.89068898,Equity
Tonga,YTD,-6.460121815,Equity
Turkey,YTD,-6.096778993,Equity
Trinidad and Tobago,YTD,6.989614938,Equity
Tuvalu,YTD,17.21670387,Equity
Taiwan,YTD,0.6489908229,Equity
Tanzania,YTD,-13.03726878,Equity
Ukraine,YTD,-7.635651112,Equity
Uganda,YTD,-17.44366473,Equity
United States Minor Outlying Islands,YTD,-13.23642436,Equity
United States,YTD,17.41343399,Equity
Uruguay,YTD,-4.330732599,Equity
Uzbekistan,YTD,-11.90713139,Equity
Vatican,YTD,-1.925749526,Equity
Saint Vincent and the Grenadines,YTD,23.24638957,Equity
Venezuela,YTD,2.241029672,Equity
Virgin Islands (British),YTD,-7.857457723,Equity
Virgin Islands (U.S.),YTD,4.800946457,Equity
Vietnam,YTD,-13.70667157,Equity
Vanuatu,YTD,6.474392639,Equity
Wallis and Futuna Islands,YTD,-33.49639503,Equity
Samoa,YTD,-24.32079901,Equity
Yemen,YTD,-15.4947603,Equity
Mayotte,YTD,-7.055135508,Equity
South Africa,YTD,-5.872114839,Equity
Zambia,YTD,-4.438693526,Equity
Zimbabwe,YTD,-16.62956251,Equity
Andorra,MTD,20.96352717,Equity
United Arab Emirates,MTD,15.10319896,Equity
Afghanistan,MTD,24.13131187,Equity
Antigua and Barbuda,MTD,23.05501313,Equity
Anguilla,MTD,-2.47074603,Equity
Albania,MTD,-21.36773776,Equity
Armenia,MTD,29.96205879,Equity
Angola,MTD,-19.09158619,Equity
Antarctica,MTD,9.616023177,Equity
Argentina,MTD,-16.22868149,Equity
American Samoa,MTD,3.268864483,Equity
Austria,MTD,-7.611949406,Equity
Australia,MTD,-25.58139769,Equity
Aruba,MTD,9.721238294,Equity
Åland Islands,MTD,23.28784096,Equity
Azerbaijan,MTD,18.26511393,Equity
Bosnia and Herzegovina,MTD,12.87846643,Equity
Barbados,MTD,-23.09173896,Equity
Bangladesh,MTD,-1.142323934,Equity
Belgium,MTD,-5.509441538,Equity
Burkina Faso,MTD,-0.1977678575,Equity
Bulgaria,MTD,-9.718697044,Equity
Bahrain,MTD,17.64238053,Equity
Burundi,MTD,8.475704907,Equity
Benin,MTD,13.03017088,Equity
Saint Barthélemy,MTD,13.25935779,Equity
Bermuda,MTD,-6.053296983,Equity
Brunei Darussalam,MTD,-11.56910857,Equity
Bolivia,MTD,-14.05808934,Equity
Caribbean Netherlands,MTD,0.4670159309,Equity
Brazil,MTD,2.031058342,Equity
Bahamas,MTD,23.78626069,Equity
Bhutan,MTD,27.75624518,Equity
Bouvet Island,MTD,26.80623231,Equity
Botswana,MTD,-10.01769224,Equity
Belarus,MTD,-21.06037856,Equity
Belize,MTD,-3.928366209,Equity
Canada,MTD,20.15881382,Equity
Cocos (Keeling) Islands,MTD,-3.51582977,Equity
"Congo, Democratic Republic of",MTD,2.303310392,Equity
Central African Republic,MTD,18.55780604,Equity
Congo,MTD,3.877316444,Equity
Switzerland,MTD,0.3005065176,Equity
Côte d'Ivoire,MTD,19.63944499,Equity
Cook Islands,MTD,9.500251907,Equity
Chile,MTD,4.556806485,Equity
Cameroon,MTD,-7.673862946,Equity
China,MTD,4.741190226,Equity
Colombia,MTD,12.34311472,Equity
Costa Rica,MTD,-6.684070117,Equity
Cuba,MTD,20.20636207,Equity
Cape Verde,MTD,10.05134394,Equity
Curaçao,MTD,-1.555860093,Equity
Christmas Island,MTD,-15.11341406,Equity
Cyprus,MTD,-4.227494798,Equity
Czech Republic,MTD,-13.18628947,Equity
Germany,MTD,-5.492834877,Equity
Djibouti,MTD,-3.109690445,Equity
Denmark,MTD,12.94532991,Equity
Dominica,MTD,9.469764421,Equity
Dominican Republic,MTD,22.43098735,Equity
Algeria,MTD,-9.383743523,Equity
Ecuador,MTD,-8.194543286,Equity
Estonia,MTD,-1.966512526,Equity
Egypt,MTD,9.561445257,Equity
Western Sahara,MTD,8.01708959,Equity
Eritrea,MTD,12.90181409,Equity
Spain,MTD,-19.93079381,Equity
Ethiopia,MTD,-13.53656268,Equity
Finland,MTD,-10.35422549,Equity
Fiji,MTD,-16.02078803,Equity
Falkland Islands,MTD,-24.46549515,Equity
"Micronesia, Federated States of",MTD,0.3579283177,Equity
Faroe Islands,MTD,26.67675192,Equity
France,MTD,-9.620067905,Equity
Gabon,MTD,14.3696194,Equity
United Kingdom,MTD,27.63214284,Equity
Grenada,MTD,-14.71828425,Equity
Georgia,MTD,-20.8223283,Equity
French Guiana,MTD,17.73298755,Equity
Guernsey,MTD,1.30958009,Equity
Ghana,MTD,17.1669163,Equity
Gibraltar,MTD,13.55491399,Equity
Greenland,MTD,28.25722959,Equity
Gambia,MTD,-30.99079925,Equity
Guinea,MTD,5.06680605,Equity
Guadeloupe,MTD,-10.01413777,Equity
Equatorial Guinea,MTD,9.424697732,Equity
Greece,MTD,-23.3491047,Equity
South Georgia and the South Sandwich Islands,MTD,14.94724278,Equity
Guatemala,MTD,4.83797774,Equity
Guam,MTD,-4.668556457,Equity
Guinea-Bissau,MTD,-5.043784807,Equity
Guyana,MTD,-22.7862815,Equity
Hong Kong,MTD,-2.039437447,Equity
Heard and McDonald Islands,MTD,6.83328934,Equity
Honduras,MTD,1.367433001,Equity
Croatia,MTD,-11.27214392,Equity
Haiti,MTD,-23.24037229,Equity
Hungary,MTD,4.610074916,Equity
Indonesia,MTD,16.25671272,Equity
Ireland,MTD,3.442687682,Equity
Israel,MTD,19.01894262,Equity
Isle of Man,MTD,-27.86841407,Equity
India,MTD,24.27932975,Equity
British Indian Ocean Territory,MTD,13.19835187,Equity
Iraq,MTD,41.3753953,Equity
Iran,MTD,-2.832777759,Equity
Iceland,MTD,-8.221347325,Equity
Italy,MTD,-22.63396525,Equity
Jersey,MTD,19.49118693,Equity
Jamaica,MTD,-8.558125904,Equity
Jordan,MTD,5.894660437,Equity
Japan,MTD,0.4507392748,Equity
Kenya,MTD,-32.00382506,Equity
Kyrgyzstan,MTD,4.301060262,Equity
Cambodia,MTD,11.83929673,Equity
Kiribati,MTD,14.478456,Equity
Comoros,MTD,-10.75508225,Equity
Saint Kitts and Nevis,MTD,-6.562080507,Equity
North Korea,MTD,-28.63814415,Equity
South Korea,MTD,6.978510897,Equity
Kuwait,MTD,-20.12246817,Equity
Cayman Islands,MTD,4.85566917,Equity
Kazakhstan,MTD,-7.151646717,Equity
Lao People's Democratic Republic,MTD,-13.7552118,Equity
Lebanon,MTD,2.566027288,Equity
Saint Lucia,MTD,16.46930662,Equity
Liechtenstein,MTD,-3.396267817,Equity
Sri Lanka,MTD,0.06007028952,Equity
Liberia,MTD,3.408943361,Equity
Lesotho,MTD,-35.19839016,Equity
Lithuania,MTD,1.107378711,Equity
Luxembourg,MTD,5.978380085,Equity
Latvia,MTD,-6.328668494,Equity
Libya,MTD,15.60386267,Equity
Morocco,MTD,-17.11097594,Equity
Monaco,MTD,-6.135329215,Equity
Moldova,MTD,8.125488005,Equity
Montenegro,MTD,-2.056217941,Equity
Saint-Martin (France),MTD,-11.17414071,Equity
Madagascar,MTD,6.858514609,Equity
Marshall Islands,MTD,12.21276715,Equity
Macedonia,MTD,-5.480433544,Equity
Mali,MTD,4.651828085,Equity
Myanmar,MTD,-27.32667588,Equity
Mongolia,MTD,3.708199644,Equity
Macau,MTD,-10.81216148,Equity
Northern Mariana Islands,MTD,-12.3372286,Equity
Martinique,MTD,-19.05046483,Equity
Mauritania,MTD,-15.15796612,Equity
Montserrat,MTD,-12.70990757,Equity
Malta,MTD,24.8858922,Equity
Mauritius,MTD,-1.321949603,Equity
Maldives,MTD,16.63369029,Equity
Malawi,MTD,-7.406650203,Equity
Mexico,MTD,-8.387222591,Equity
Malaysia,MTD,7.641495976,Equity
Mozambique,MTD,-18.28897767,Equity
Namibia,MTD,-15.07472456,Equity
New Caledonia,MTD,-14.32404403,Equity
Niger,MTD,26.655647,Equity
Norfolk Island,MTD,-13.81185972,Equity
Nigeria,MTD,-15.32171331,Equity
Nicaragua,MTD,10.18289873,Equity
The Netherlands,MTD,5.822179324,Equity
Norway,MTD,-21.11530964,Equity
Nepal,MTD,10.69582376,Equity
Nauru,MTD,-4.973990983,Equity
Niue,MTD,-7.024050643,Equity
New Zealand,MTD,-17.40713385,Equity
Oman,MTD,-10.74274307,Equity
Panama,MTD,-0.1909634771,Equity
Peru,MTD,4.736691934,Equity
French Polynesia,MTD,35.11484213,Equity
Papua New Guinea,MTD,15.76002022,Equity
Philippines,MTD,-3.605140713,Equity
Pakistan,MTD,-0.3888808608,Equity
Poland,MTD,5.019207402,Equity
St. Pierre and Miquelon,MTD,15.31219132,Equity
Pitcairn,MTD,4.735071952,Equity
Puerto Rico,MTD,20.45278082,Equity
"Palestine, State of",MTD,0.02264726923,Equity
Portugal,MTD,-2.360398268,Equity
Palau,MTD,2.029792585,Equity
Paraguay,MTD,-10.05977944,Equity
Qatar,MTD,1.771434594,Equity
Réunion,MTD,-3.94230922,Equity
Romania,MTD,-6.534238033,Equity
Serbia,MTD,10.23209097,Equity
Russian Federation,MTD,16.97090112,Equity
Rwanda,MTD,2.241250566,Equity
Saudi Arabia,MTD,6.016130124,Equity
Solomon Islands,MTD,-3.573664696,Equity
Seychelles,MTD,-13.98809524,Equity
Sudan,MTD,4.060473843,Equity
Sweden,MTD,-11.24290051,Equity
Singapore,MTD,16.13814659,Equity
Saint Helena,MTD,25.74948837,Equity
Slovenia,MTD,-13.50347572,Equity
Svalbard and Jan Mayen Islands,MTD,-0.7397105151,Equity
Slovakia,MTD,-7.956891937,Equity
Sierra Leone,MTD,18.52520111,Equity
San Marino,MTD,-15.55776946,Equity
Senegal,MTD,0.03258389214,Equity
Somalia,MTD,7.390329295,Equity
Suriname,MTD,-30.8905188,Equity
South Sudan,MTD,-6.770616879,Equity
Sao Tome and Principe,MTD,-5.694376928,Equity
El Salvador,MTD,8.43489824,Equity
Sint Maarten (Dutch part),MTD,-15.97735076,Equity
Syria,MTD,5.135596802,Equity
Swaziland,MTD,2.991086713,Equity
Turks and Caicos Islands,MTD,-23.85239688,Equity
Chad,MTD,-7.157511727,Equity
French Southern Territories,MTD,20.49223272,Equity
Togo,MTD,-7.779572874,Equity
Thailand,MTD,-1.708376529,Equity
Tajikistan,MTD,-2.613221298,Equity
Tokelau,MTD,-27.2571847,Equity
Timor-Leste,MTD,-15.53085034,Equity
Turkmenistan,MTD,-24.52066273,Equity
Tunisia,MTD,6.84368127,Equity
Tonga,MTD,-16.8174996,Equity
Turkey,MTD,-9.5387488,Equity
Trinidad and Tobago,MTD,-15.61686408,Equity
Tuvalu,MTD,-19.99358369,Equity
Taiwan,MTD,23.05438956,Equity
Tanzania,MTD,8.767613692,Equity
Ukraine,MTD,-2.483485785,Equity
Uganda,MTD,0.5228880942,Equity
United States Minor Outlying Islands,MTD,-11.88276809,Equity
United States,MTD,-21.38633642,Equity
Uruguay,MTD,-21.11689365,Equity
Uzbekistan,MTD,29.35821217,Equity
Vatican,MTD,-12.15101387,Equity
Saint Vincent and the Grenadines,MTD,-20.66944202,Equity
Venezuela,MTD,21.56932407,Equity
Virgin Islands (British),MTD,-44.36939145,Equity
Virgin Islands (U.S.),MTD,25.65791573,Equity
Vietnam,MTD,-6.022378152,Equity
Vanuatu,MTD,-18.94468168,Equity
Wallis and Futuna Islands,MTD,-6.136509368,Equity
Samoa,MTD,24.54345506,Equity
Yemen,MTD,-5.519847049,Equity
Mayotte,MTD,-22.55399142,Equity
South Africa,MTD,-6.312590886,Equity
Zambia,MTD,-3.8817729,Equity
Zimbabwe,MTD,-5.236308515,Equity
Andorra,2017,24.06592587,Equity
United Arab Emirates,2017,2.267307358,Equity
Afghanistan,2017,15.80678279,Equity
Antigua and Barbuda,2017,-1.327576494,Equity
Anguilla,2017,3.505362502,Equity
Albania,2017,-6.542218914,Equity
Armenia,2017,-2.165856078,Equity
Angola,2017,8.151528422,Equity
Antarctica,2017,-2.653397807,Equity
Argentina,2017,-2.008296846,Equity
American Samoa,2017,-6.295474865,Equity
Austria,2017,-10.62490601,Equity
Australia,2017,-1.223410688,Equity
Aruba,2017,10.86730751,Equity
Åland Islands,2017,-4.134015023,Equity
Azerbaijan,2017,-13.85957768,Equity
Bosnia and Herzegovina,2017,-2.377801949,Equity
Barbados,2017,-7.188325981,Equity
Bangladesh,2017,-27.67276295,Equity
Belgium,2017,0.05228049557,Equity
Burkina Faso,2017,-28.06304869,Equity
Bulgaria,2017,-11.40069883,Equity
Bahrain,2017,4.925121732,Equity
Burundi,2017,-13.23159102,Equity
Benin,2017,5.845831291,Equity
Saint Barthélemy,2017,-20.63269792,Equity
Bermuda,2017,1.350887587,Equity
Brunei Darussalam,2017,12.11966299,Equity
Bolivia,2017,20.70849054,Equity
Caribbean Netherlands,2017,-5.358620492,Equity
Brazil,2017,24.71919498,Equity
Bahamas,2017,13.42367468,Equity
Bhutan,2017,-4.208125352,Equity
Bouvet Island,2017,-37.17255944,Equity
Botswana,2017,0.1776464655,Equity
Belarus,2017,4.886447972,Equity
Belize,2017,6.948217077,Equity
Canada,2017,13.27281252,Equity
Cocos (Keeling) Islands,2017,-9.074962859,Equity
"Congo, Democratic Republic of",2017,-24.83889622,Equity
Central African Republic,2017,-23.0521189,Equity
Congo,2017,17.02620785,Equity
Switzerland,2017,-0.9979335588,Equity
Côte d'Ivoire,2017,-1.574605067,Equity
Cook Islands,2017,-8.112284474,Equity
Chile,2017,-12.50788524,Equity
Cameroon,2017,8.25568645,Equity
China,2017,-27.79892061,Equity
Colombia,2017,-21.4638806,Equity
Costa Rica,2017,10.08989933,Equity
Cuba,2017,-45.83394232,Equity
Cape Verde,2017,6.489076082,Equity
Curaçao,2017,28.95629671,Equity
Christmas Island,2017,25.84779979,Equity
Cyprus,2017,-9.931673445,Equity
Czech Republic,2017,-9.317757673,Equity
Germany,2017,-11.58464973,Equity
Djibouti,2017,4.196798574,Equity
Denmark,2017,-33.25031764,Equity
Dominica,2017,-7.187957161,Equity
Dominican Republic,2017,24.03306377,Equity
Algeria,2017,17.78492856,Equity
Ecuador,2017,2.333861837,Equity
Estonia,2017,-19.37689061,Equity
Egypt,2017,14.73359481,Equity
Western Sahara,2017,-3.484652555,Equity
Eritrea,2017,-1.791812577,Equity
Spain,2017,-0.449435384,Equity
Ethiopia,2017,-15.01770591,Equity
Finland,2017,8.003341399,Equity
Fiji,2017,2.218366898,Equity
Falkland Islands,2017,26.96237865,Equity
"Micronesia, Federated States of",2017,-6.257040529,Equity
Faroe Islands,2017,-1.730901024,Equity
France,2017,3.756374306,Equity
Gabon,2017,-3.909732532,Equity
United Kingdom,2017,-24.01794935,Equity
Grenada,2017,-25.69032102,Equity
Georgia,2017,17.37538316,Equity
French Guiana,2017,-12.45194112,Equity
Guernsey,2017,15.7400719,Equity
Ghana,2017,-14.75138593,Equity
Gibraltar,2017,6.872590078,Equity
Greenland,2017,5.527957686,Equity
Gambia,2017,16.11277343,Equity
Guinea,2017,0.9908052679,Equity
Guadeloupe,2017,-5.927265143,Equity
Equatorial Guinea,2017,-2.726979557,Equity
Greece,2017,-22.22277527,Equity
South Georgia and the South Sandwich Islands,2017,0.2265824423,Equity
Guatemala,2017,4.064978678,Equity
Guam,2017,-9.19614569,Equity
Guinea-Bissau,2017,-25.20863759,Equity
Guyana,2017,28.85326004,Equity
Hong Kong,2017,-26.2878354,Equity
Heard and McDonald Islands,2017,9.290317157,Equity
Honduras,2017,2.467574739,Equity
Croatia,2017,10.32301842,Equity
Haiti,2017,-30.08666693,Equity
Hungary,2017,0.1968388765,Equity
Indonesia,2017,21.6992583,Equity
Ireland,2017,18.77657907,Equity
Israel,2017,3.723635434,Equity
Isle of Man,2017,-9.61460097,Equity
India,2017,-13.59790639,Equity
British Indian Ocean Territory,2017,-6.299386339,Equity
Iraq,2017,19.83672935,Equity
Iran,2017,-5.846257691,Equity
Iceland,2017,0.0934030275,Equity
Italy,2017,9.818608885,Equity
Jersey,2017,14.54157501,Equity
Jamaica,2017,19.47727006,Equity
Jordan,2017,-10.65946479,Equity
Japan,2017,19.81447652,Equity
Kenya,2017,-1.090914008,Equity
Kyrgyzstan,2017,-4.629263477,Equity
Cambodia,2017,-23.99837177,Equity
Kiribati,2017,4.63897982,Equity
Comoros,2017,15.4208555,Equity
Saint Kitts and Nevis,2017,-16.68270528,Equity
North Korea,2017,5.28428845,Equity
South Korea,2017,22.60199543,Equity
Kuwait,2017,-16.93239965,Equity
Cayman Islands,2017,-2.126272483,Equity
Kazakhstan,2017,-19.27794811,Equity
Lao People's Democratic Republic,2017,-3.446720707,Equity
Lebanon,2017,-15.77895451,Equity
Saint Lucia,2017,-9.331807019,Equity
Liechtenstein,2017,-14.37577219,Equity
Sri Lanka,2017,-2.919292433,Equity
Liberia,2017,7.581113177,Equity
Lesotho,2017,-18.12299549,Equity
Lithuania,2017,6.450983776,Equity
Luxembourg,2017,0.8233580519,Equity
Latvia,2017,-0.1314992153,Equity
Libya,2017,5.934819132,Equity
Morocco,2017,2.025154044,Equity
Monaco,2017,2.649324198,Equity
Moldova,2017,-16.30221428,Equity
Montenegro,2017,-24.3257053,Equity
Saint-Martin (France),2017,-22.68256819,Equity
Madagascar,2017,9.966832851,Equity
Marshall Islands,2017,0.4572915912,Equity
Macedonia,2017,2.75333928,Equity
Mali,2017,-26.99586126,Equity
Myanmar,2017,-1.603700846,Equity
Mongolia,2017,2.480704569,Equity
Macau,2017,7.70786021,Equity
Northern Mariana Islands,2017,2.394714716,Equity
Martinique,2017,16.92899539,Equity
Mauritania,2017,-12.39652315,Equity
Montserrat,2017,15.81136572,Equity
Malta,2017,2.616061131,Equity
Mauritius,2017,-18.86024676,Equity
Maldives,2017,-11.90163115,Equity
Malawi,2017,17.9291502,Equity
Mexico,2017,6.042868644,Equity
Malaysia,2017,-24.18140679,Equity
Mozambique,2017,32.91148808,Equity
Namibia,2017,-0.2323276825,Equity
New Caledonia,2017,19.24747603,Equity
Niger,2017,-1.297515303,Equity
Norfolk Island,2017,5.430169162,Equity
Nigeria,2017,-6.348374948,Equity
Nicaragua,2017,15.7625663,Equity
The Netherlands,2017,-14.99146574,Equity
Norway,2017,16.89191547,Equity
Nepal,2017,11.728514,Equity
Nauru,2017,-19.19203938,Equity
Niue,2017,-12.36850702,Equity
New Zealand,2017,-2.340476916,Equity
Oman,2017,-17.21810196,Equity
Panama,2017,-15.32061093,Equity
Peru,2017,-0.3323400944,Equity
French Polynesia,2017,15.4258754,Equity
Papua New Guinea,2017,8.661377975,Equity
