symbol,date,price
Team 10,11 July 2019,1.320799045
Team 10,12 July 2019,1.400468735
Team 10,15 July 2019,1.430465786
Team 10,16 July 2019,1.491479443
Team 11,03 July 2019,1
Team 11,04 July 2019,1.068093156
Team 11,05 July 2019,1.108977442
Team 11,08 July 2019,1.137506752
Team 11,09 July 2019,1.192797096
Team 11,10 July 2019,1.237044707
Team 11,11 July 2019,1.292573411
Team 11,12 July 2019,1.417638067
Team 11,15 July 2019,1.478963992
Team 11,16 July 2019,1.572311013
Team 12,03 July 2019,1
Team 12,04 July 2019,1.082275102
Team 12,05 July 2019,1.110248966
Team 12,08 July 2019,1.207162842
Team 12,09 July 2019,1.2479193
Team 12,10 July 2019,1.305830391
Team 12,11 July 2019,1.427944582
Team 12,12 July 2019,1.499728424
Team 12,15 July 2019,1.569387554
Team 12,16 July 2019,1.678753522
Team 13,03 July 2019,1
Team 13,04 July 2019,1.068099535
Team 13,05 July 2019,1.094411481
Team 13,08 July 2019,1.150595073
Team 13,09 July 2019,1.228591109
Team 13,10 July 2019,1.284246277
Team 13,11 July 2019,1.373470356
Team 13,12 July 2019,1.444372252
Team 13,15 July 2019,1.492309986
Team 13,16 July 2019,1.635603335
Team 14,11 July 2019,1
Team 14,12 July 2019,1.051043753
Team 14,15 July 2019,1.14571274
Team 14,16 July 2019,1.195412983
Team 15,03 July 2019,1
Team 15,04 July 2019,1.08514885
Team 15,05 July 2019,1.179309504
Team 15,08 July 2019,1.264290001
Team 15,09 July 2019,1.367123904
Team 15,10 July 2019,1.47912799
Team 15,11 July 2019,1.608728463
Team 15,12 July 2019,1.670109488
Team 15,15 July 2019,1.747533321
Team 15,16 July 2019,1.873798329
Team 16,03 July 2019,1
Team 16,04 July 2019,1.022651693
Team 16,05 July 2019,1.044806037
Team 16,08 July 2019,1.066469367
Team 16,09 July 2019,1.160715051
Team 16,10 July 2019,1.257182687
Team 16,11 July 2019,1.347684217
Team 16,12 July 2019,1.395279093
Team 16,15 July 2019,1.529436561
Team 16,16 July 2019,1.630685476
Team 17,03 July 2019,1
Team 17,04 July 2019,1.061681345
Team 17,05 July 2019,1.118985901
Team 17,08 July 2019,1.143978868
Team 17,09 July 2019,1.220035972
Team 17,10 July 2019,1.250863275
Team 17,11 July 2019,1.321576638
Team 17,12 July 2019,1.371178294
Team 17,15 July 2019,1.413113604
Team 17,16 July 2019,1.471224512
Team 18,03 July 2019,1
Team 18,04 July 2019,1.047431227
Team 18,05 July 2019,1.096141518
Team 18,08 July 2019,1.157578338
Team 18,09 July 2019,1.210126321
Team 18,10 July 2019,1.246898815
Team 18,11 July 2019,1.289568366
Team 18,12 July 2019,1.415809716
Team 18,15 July 2019,1.514291314
Team 18,16 July 2019,1.660486635
Team 19,03 July 2019,1
Team 19,04 July 2019,1.063862229
Team 19,05 July 2019,1.102574676
Team 19,08 July 2019,1.170363622
Team 19,09 July 2019,1.212029898
Team 19,10 July 2019,1.296145476
Team 19,11 July 2019,1.424848511
Team 19,12 July 2019,1.49710939
Team 19,15 July 2019,1.594629011
Team 19,16 July 2019,1.632707612
Team 20,03 July 2019,1
Team 20,04 July 2019,1.098482262
Team 20,05 July 2019,1.14245541
Team 20,08 July 2019,1.217886114
Team 20,09 July 2019,1.264081199
Team 20,10 July 2019,1.363282856
Team 20,11 July 2019,1.43939373
Team 20,12 July 2019,1.522962721
Team 20,15 July 2019,1.650121717
Team 20,16 July 2019,1.814442064
Team 21,03 July 2019,1
Team 21,04 July 2019,1.064067583
Team 21,05 July 2019,1.164535529
Team 21,08 July 2019,1.278284474
Team 21,09 July 2019,1.34332984
Team 21,10 July 2019,1.370224452
Team 21,11 July 2019,1.398855501
Team 21,12 July 2019,1.45765448
Team 21,15 July 2019,1.511142878
Team 21,16 July 2019,1.638072714
Team 22,03 July 2019,1
Team 22,04 July 2019,1.082094931
Team 22,05 July 2019,1.108871566
Team 22,08 July 2019,1.176201527
Team 22,09 July 2019,1.22533457
Team 22,10 July 2019,1.295460966
Team 22,11 July 2019,1.328761325
Team 22,12 July 2019,1.447513846
Team 22,15 July 2019,1.563765026
Team 22,16 July 2019,1.59595416
Team 23,03 July 2019,1
Team 23,04 July 2019,1.090660712
Team 23,05 July 2019,1.147471154
Team 23,08 July 2019,1.180861906
Team 23,09 July 2019,1.250502895
Team 23,10 July 2019,1.306460265
Team 23,11 July 2019,1.38562684
Team 23,12 July 2019,1.469684322
Team 23,15 July 2019,1.545544954
Team 23,16 July 2019,1.605305722
Team 24,03 July 2019,1
Team 24,04 July 2019,1.030144883
Team 24,05 July 2019,1.092516333
Team 24,08 July 2019,1.195605302
Team 24,09 July 2019,1.233546639
Team 24,10 July 2019,1.306455622
Team 24,11 July 2019,1.425774872
Team 24,12 July 2019,1.466903444
Team 24,15 July 2019,1.580678184
Team 24,16 July 2019,1.634671164
Team 25,03 July 2019,1
Team 25,04 July 2019,1.063029196
Team 25,05 July 2019,1.089927986
Team 25,08 July 2019,1.171040747
Team 25,09 July 2019,1.26876834
Team 25,10 July 2019,1.35104106
Team 25,11 July 2019,1.451845104
Team 25,12 July 2019,1.530586486
Team 25,15 July 2019,1.600275791
Team 25,16 July 2019,1.698067669
Team 26,03 July 2019,1
Team 26,04 July 2019,1.021960724
Team 26,05 July 2019,1.123322664
Team 26,08 July 2019,1.159634376
Team 26,09 July 2019,1.243999355
Team 26,10 July 2019,1.359693983
Team 26,11 July 2019,1.405395851
Team 26,12 July 2019,1.512391942
Team 26,15 July 2019,1.546994521
Team 26,16 July 2019,1.655355136
Team 27,03 July 2019,1
Team 27,04 July 2019,1.058866602
Team 27,05 July 2019,1.096612815
Team 27,08 July 2019,1.128900467
Team 27,09 July 2019,1.212619298
Team 27,10 July 2019,1.281159825
Team 27,11 July 2019,1.346249276
Team 27,12 July 2019,1.405384074
Team 27,15 July 2019,1.526687313
Team 27,16 July 2019,1.563835646
Team 28,03 July 2019,1
Team 28,04 July 2019,1.08248435
Team 28,05 July 2019,1.133023479
Team 28,08 July 2019,1.219180805
Team 28,09 July 2019,1.261585036
Team 28,10 July 2019,1.322784543
Team 28,11 July 2019,1.373502566
Team 28,12 July 2019,1.456318246
Team 28,15 July 2019,1.60085581
Team 28,16 July 2019,1.649227717
Team 29,03 July 2019,1
Team 29,04 July 2019,1.033221793
Team 29,05 July 2019,1.054934352
Team 29,08 July 2019,1.079213991
Team 29,09 July 2019,1.153915884
Team 29,10 July 2019,1.232762859
Team 29,11 July 2019,1.262608761
Team 29,12 July 2019,1.343127995
Team 29,15 July 2019,1.461525893
Team 29,16 July 2019,1.530728552
Team 30,10 July 2019,1
Team 30,11 July 2019,1.038911456
Team 30,12 July 2019,1.07137853
Team 30,15 July 2019,1.129026323
Team 30,16 July 2019,1.219946401
Team 31,03 July 2019,1
Team 31,04 July 2019,1.026924373
Team 31,05 July 2019,1.079624475
Team 31,08 July 2019,1.172606288
Team 31,09 July 2019,1.255754349
Team 31,10 July 2019,1.33517762
Team 31,11 July 2019,1.400394707
Team 31,12 July 2019,1.497890745
Team 31,15 July 2019,1.594230425
Team 31,16 July 2019,1.704744124
Team 32,03 July 2019,1
Team 32,04 July 2019,1.048918435
Team 32,05 July 2019,1.116946082
Team 32,08 July 2019,1.145265377
Team 32,09 July 2019,1.258596044
Team 32,10 July 2019,1.381747124
Team 32,11 July 2019,1.505827754
Team 32,12 July 2019,1.575125422
Team 32,15 July 2019,1.713048826
Team 32,16 July 2019,1.841635635
Team 33,03 July 2019,1
Team 33,04 July 2019,1.030871071
Team 33,05 July 2019,1.05833471
Team 33,08 July 2019,1.10497829
Team 33,09 July 2019,1.193159796
Team 33,10 July 2019,1.234202854
Team 33,11 July 2019,1.327662782
Team 33,12 July 2019,1.413789589
Team 33,15 July 2019,1.454336465
Team 33,16 July 2019,1.52237682
Team 34,03 July 2019,1
Team 34,04 July 2019,1.04430237
Team 34,05 July 2019,1.129445629
Team 34,08 July 2019,1.155252313
Team 34,09 July 2019,1.187897252
Team 34,10 July 2019,1.241156262
Team 34,11 July 2019,1.361348432
Team 34,12 July 2019,1.47384816
Team 34,15 July 2019,1.621087403
Team 34,16 July 2019,1.759404151
Team 35,03 July 2019,1
Team 35,04 July 2019,1.071836866
Team 35,05 July 2019,1.102730909
Team 35,08 July 2019,1.187989031
Team 35,09 July 2019,1.24289412
Team 35,10 July 2019,1.324438621
Team 35,11 July 2019,1.416026032
Team 35,12 July 2019,1.459731195
Team 35,15 July 2019,1.600343509
Team 35,16 July 2019,1.723201218
Team 36,03 July 2019,1
Team 36,04 July 2019,1.031788377
Team 36,05 July 2019,1.087553043
Team 36,08 July 2019,1.119799729
Team 36,09 July 2019,1.186543706
Team 36,10 July 2019,1.221871547
Team 36,11 July 2019,1.28030345
Team 36,12 July 2019,1.318428701
Team 36,15 July 2019,1.378387889
Team 36,16 July 2019,1.430516102
Team 37,03 July 2019,1
Team 37,04 July 2019,1.072912095
Team 37,05 July 2019,1.102699478
Team 37,08 July 2019,1.16949144
Team 37,09 July 2019,1.233549437
Team 37,10 July 2019,1.306547482
Team 37,11 July 2019,1.342386385
Team 37,12 July 2019,1.399410375
Team 37,15 July 2019,1.502871243
Team 37,16 July 2019,1.642135024
Team 38,03 July 2019,1
Team 38,04 July 2019,1.058901247
Team 38,05 July 2019,1.161353782
Team 38,08 July 2019,1.254004323
Team 38,09 July 2019,1.304085911
Team 38,10 July 2019,1.399019214
Team 38,11 July 2019,1.450684694
Team 38,12 July 2019,1.538207574
Team 38,15 July 2019,1.645386838
Team 38,16 July 2019,1.758838911
Team 39,03 July 2019,1
Team 39,04 July 2019,1.076676733
Team 39,05 July 2019,1.14362291
Team 39,08 July 2019,1.173376463
Team 39,09 July 2019,1.245480761
Team 39,10 July 2019,1.273085933
Team 39,11 July 2019,1.382225659
Team 39,12 July 2019,1.417936496
Team 39,15 July 2019,1.466931992
Team 39,16 July 2019,1.60048652
Team 40,10 July 2019,1
Team 40,11 July 2019,1.082502185
Team 40,12 July 2019,1.141502377
Team 40,15 July 2019,1.234423956
Team 40,16 July 2019,1.330650797
Team 41,03 July 2019,1
Team 41,04 July 2019,1.093018941
Team 41,05 July 2019,1.124438765
Team 41,08 July 2019,1.203978215
Team 41,09 July 2019,1.288852085
Team 41,10 July 2019,1.322224433
Team 41,11 July 2019,1.409666573
Team 41,12 July 2019,1.447953414
Team 41,15 July 2019,1.550107854
Team 41,16 July 2019,1.676848
Team 42,03 July 2019,1
Team 42,04 July 2019,1.085025168
Team 42,05 July 2019,1.161417584
Team 42,08 July 2019,1.252928321
Team 42,09 July 2019,1.287508478
Team 42,10 July 2019,1.413183267
Team 42,11 July 2019,1.499188632
Team 42,12 July 2019,1.633225421
Team 42,15 July 2019,1.789438835
Team 42,16 July 2019,1.866387612
Team 43,03 July 2019,1
Team 43,04 July 2019,1.099993916
Team 43,05 July 2019,1.171771153
Team 43,08 July 2019,1.204511285
Team 43,09 July 2019,1.251079755
Team 43,10 July 2019,1.280694237
Team 43,11 July 2019,1.369502531
Team 43,12 July 2019,1.426222157
Team 43,15 July 2019,1.54082114
Team 43,16 July 2019,1.692382794
Team 44,03 July 2019,1
Team 44,04 July 2019,1.067056984
Team 44,05 July 2019,1.172200025
Team 44,08 July 2019,1.257169531
Team 44,09 July 2019,1.326039299
Team 44,10 July 2019,1.365125525
Team 44,11 July 2019,1.410943892
Team 44,12 July 2019,1.474417648
Team 44,15 July 2019,1.519045942
Team 44,16 July 2019,1.631367643
Team 45,03 July 2019,1
Team 45,04 July 2019,1.034885266
Team 45,05 July 2019,1.129835339
Team 45,08 July 2019,1.168741466
Team 45,09 July 2019,1.236648951
Team 45,10 July 2019,1.310290323
Team 45,11 July 2019,1.3603145
Team 45,12 July 2019,1.427423166
Team 45,15 July 2019,1.544546823
Team 45,16 July 2019,1.580893691
Team 46,03 July 2019,1
Team 46,04 July 2019,1.072388873
Team 46,05 July 2019,1.10298858
Team 46,08 July 2019,1.206038512
Team 46,09 July 2019,1.248546311
Team 46,10 July 2019,1.369097439
Team 46,11 July 2019,1.425335113
Team 46,12 July 2019,1.562989332
Team 46,15 July 2019,1.673008912
Team 46,16 July 2019,1.743934432
Team 47,03 July 2019,1
Team 47,04 July 2019,1.092315422
Team 47,05 July 2019,1.127758804
Team 47,08 July 2019,1.187762802
Team 47,09 July 2019,1.274115118
Team 47,10 July 2019,1.398865686
Team 47,11 July 2019,1.448460515
Team 47,12 July 2019,1.580084903
Team 47,15 July 2019,1.704548919
Team 47,16 July 2019,1.844243938
Team 48,03 July 2019,1
Team 48,04 July 2019,1.034102392
Team 48,05 July 2019,1.056170366
Team 48,08 July 2019,1.127155709
Team 48,09 July 2019,1.151710499
Team 48,10 July 2019,1.179081883
Team 48,11 July 2019,1.212560705
Team 48,12 July 2019,1.319538356
Team 48,15 July 2019,1.377342707
Team 48,16 July 2019,1.44721567
Team 49,03 July 2019,1
Team 49,04 July 2019,1.075171002
Team 49,05 July 2019,1.156360659
Team 49,08 July 2019,1.269803772
Team 49,09 July 2019,1.357193675
Team 49,10 July 2019,1.430496126
Team 49,11 July 2019,1.471086404
Team 49,12 July 2019,1.564992969
Team 49,15 July 2019,1.603004201
Team 49,16 July 2019,1.728192133
Team 50,16 July 2019,1
Team 51,03 July 2019,1
Team 51,04 July 2019,1.02891075
Team 51,05 July 2019,0.802550385
Team 51,08 July 2019,0.882805423
Team 51,09 July 2019,1.0417104
Team 51,10 July 2019,1.312555104
Team 51,11 July 2019,1.233801797
Team 51,12 July 2019,1.15977369
Team 51,15 July 2019,1.368532954
Team 51,16 July 2019,1.286420976
Team 52,03 July 2019,1
Team 52,04 July 2019,1.094932587
Team 52,05 July 2019,1.204425846
Team 52,08 July 2019,0.93945216
Team 52,09 July 2019,0.958241203
Team 52,10 July 2019,1.054065323
Team 52,11 July 2019,0.906496178
Team 52,12 July 2019,0.852106407
Team 52,15 July 2019,0.937317048
Team 52,16 July 2019,0.731107298
Team 53,03 July 2019,1
Team 53,04 July 2019,1.073236474
Team 53,05 July 2019,1.266419039
Team 53,08 July 2019,1.089120374
Team 53,09 July 2019,0.936643521
Team 53,10 July 2019,0.88044491
Team 53,11 July 2019,0.898053808
Team 53,12 July 2019,0.772326275
Team 53,15 July 2019,0.664200597
Team 53,16 July 2019,0.677484609
Team 54,03 July 2019,1
Team 54,04 July 2019,1.06671913
Team 54,05 July 2019,1.344066103
Team 54,08 July 2019,1.048371561
Team 54,09 July 2019,0.817729817
Team 54,10 July 2019,0.768666028
Team 54,11 July 2019,0.845532631
Team 54,12 July 2019,0.997728505
Team 54,15 July 2019,1.017683075
Team 54,16 July 2019,1.119451382
Team 55,03 July 2019,1
Team 55,04 July 2019,1.077874754
Team 55,05 July 2019,1.271892209
Team 55,08 July 2019,0.992075923
Team 55,09 July 2019,0.932551368
Team 55,10 July 2019,1.100410614
Team 55,11 July 2019,0.858320279
Team 55,12 July 2019,1.012817929
Team 55,15 July 2019,0.871023419
Team 55,16 July 2019,0.679398267
Team 56,03 July 2019,1
Team 56,04 July 2019,1.065122104
Team 56,05 July 2019,1.086424546
Team 56,08 July 2019,1.281980965
Team 56,09 July 2019,1.615296016
Team 56,10 July 2019,1.518378255
Team 56,11 July 2019,1.67021608
Team 56,12 July 2019,2.104472261
Team 56,15 July 2019,2.146561706
Team 56,16 July 2019,2.017768004
Team 57,03 July 2019,1
Team 57,04 July 2019,1.032368738
Team 57,05 July 2019,1.135605611
Team 57,08 July 2019,1.249166172
Team 57,09 July 2019,1.274149496
Team 57,10 July 2019,1.401564446
Team 57,11 July 2019,1.093220268
Team 57,12 July 2019,0.94016943
Team 57,15 July 2019,1.109399927
Team 57,16 July 2019,1.397843909
BMK_Defensive,03 July 2019,1
BMK_Defensive,04 July 2019,0.999838943
BMK_Defensive,05 July 2019,0.99462621
BMK_Defensive,08 July 2019,0.996144252
BMK_Defensive,09 July 2019,0.995516021
BMK_Defensive,10 July 2019,0.993693286
BMK_Defensive,11 July 2019,0.988636637
BMK_Defensive,12 July 2019,0.989329884
BMK_Defensive,15 July 2019,0.993170525
BMK_Defensive,16 July 2019,0.992747167
BMK_Balanced,03 July 2019,1
BMK_Balanced,04 July 2019,0.99988999
BMK_Balanced,05 July 2019,0.995820674
BMK_Balanced,08 July 2019,0.995463904
BMK_Balanced,09 July 2019,0.995489691
BMK_Balanced,10 July 2019,0.994472654
BMK_Balanced,11 July 2019,0.990585137
BMK_Balanced,12 July 2019,0.991106368
BMK_Balanced,15 July 2019,0.995147784
BMK_Balanced,16 July 2019,0.996759431
BMK_Growth,03 July 2019,1
BMK_Growth,04 July 2019,0.999932782
BMK_Growth,05 July 2019,0.996973237
BMK_Growth,08 July 2019,0.994773231
BMK_Growth,09 July 2019,0.99545536
BMK_Growth,10 July 2019,0.99521564
BMK_Growth,11 July 2019,0.992443393
BMK_Growth,12 July 2019,0.992796322
BMK_Growth,15 July 2019,0.997070877
BMK_Growth,16 July 2019,1.000701642
